Class Number, Campus, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
6638,North Campus,ARC 2461 - 0001   Architectural Materials And Construction 1,0001-LEC Main Sess,Staff,20,17,3,0,0
6641,Kendall Campus,ARC 2461 - 0002   Architectural Materials And Construction 1,0002-LEC Main Sess,Staff,20,18,2,0,0
6640,Wolfson Campus,ARC 2461 - 0003   Architectural Materials And Construction 1,0003-LEC Main Sess,Staff,20,13,7,0,0
5934,North Campus,ACG 2450 - 0001   Microcomputers In Accounting,0001-LEC Twelve Wk,Staff,24,14,10,0,0
5930,Kendall Campus,ACG 2450 - 0002   Microcomputers In Accounting,0002-LEC Main Sess,Staff,25,15,10,0,0
5935,Wolfson Campus,ACG 2450 - 0003   Microcomputers In Accounting,0003-LEC Twelve Wk,Staff,25,9,16,0,0
5931,Wolfson Campus,ACG 2450 - 0004   Microcomputers In Accounting,0004-LEC Main Sess,Staff,30,26,4,0,0
5932,Homestead Campus,ACG 2450 - 0005   Microcomputers In Accounting,0005-LEC Main Sess,Staff,30,9,21,0,0
5933,InterAmerican Campus,ACG 2450 - 0006   Microcomputers In Accounting,0006-LEC Main Sess,Staff,30,0,30,0,0
5937,InterAmerican Campus,ACG 2450 - 0007   Microcomputers In Accounting,0007-LEC 1st Mon Sp,Staff,21,0,21,0,0
5936,Hialeah Campus,ACG 2450 - 0008   Microcomputers In Accounting,0008-LEC Eight Wk 2,Staff,30,0,30,0,0
5326,Homestead Campus,AVM 2450 - 0001   Airport Facilities/Financial Planning,0001-LEC Eight Wk 2,Staff,30,0,30,0,0
5327,Homestead Campus,AVM 2450 - 0002   Airport Facilities/Financial Planning,0002-LEC Conversion,Staff,30,1,29,0,0
5322,Homestead Campus,AVM 2450 - 0003   Airport Facilities/Financial Planning,0003-LEC Main Sess,Staff,30,0,30,0,0
5323,Homestead Campus,AVM 2450 - 0004   Airport Facilities/Financial Planning,0004-LEC Main Sess,Staff,30,0,30,0,0
5324,Homestead Campus,AVM 2450 - 0005   Airport Facilities/Financial Planning,0005-LEC Eight Wk 1,Staff,30,0,30,0,0
5325,Homestead Campus,AVM 2450 - 0006   Airport Facilities/Financial Planning,0006-LEC Eight Wk 2,Staff,30,0,30,0,0
8670,Kendall Campus,CTS 2450 - 0001   Business Intelligence: Analysis Services And Data Mining,0001-LEC Eight Wk 2,Staff,22,21,1,0,0
16257,Wolfson Campus,HFT 2449 - 0001   E-Business For The Hospitality Industry,0001-LEC Twelve Wk,Staff,30,12,18,0,0
16256,Wolfson Campus,HFT 2449 - 0002   E-Business For The Hospitality Industry,0002-LEC Main Sess,Staff,30,17,13,0,0
11993,North Campus,PSB 2442 - 0001   The Psychology Of Addiction,0001-LEC Conversion,Staff,45,0,45,0,0
